Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.6795480769226
FDW14,OUT017,1481.8506141732285
NCN55,OUT010,584.7577647727272
FDQ58,OUT017,2222.6712822580644
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.149381714284
FDL48,OUT018,713.8586545454551
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1851.5061202185789
FDA36,OUT017,2827.356688888888
FDT44,OUT017,1922.149381714284
FDQ56,OUT045,1481.8506141732285
NCC54,OUT019,584.7577647727272
FDU11,OUT049,2089.9710432835814
DRL59,OUT013,713.8586545454551
FDM24,OUT049,2490.526886705203
FDI57,OUT045,2919.0371914893603
DRC12,OUT018,2919.0371914893603
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2788.889724
NCJ31,OUT035,3719.0643283783766
FDG52,OUT046,798.2176035398228
NCL19,OUT019,281.48208181818177
FDS10,OUT035,2919.0371914893603
FDX22,OUT010,584.7577647727272
NCF19,OUT035,798.2176035398228
NCE06,OUT046,2222.6712822580644
DRC27,OUT046,3692.819102439025
FDE21,OUT035,1922.149381714284
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2911.4114396396403
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.3147244444435
FDU59,OUT017,2611.4595423423416
FDR03,OUT027,5329.3147244444435
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2919.0371914893603
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524399999998
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2788.889724
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727272
FDC26,OUT013,1570.2005266666665
FDR14,OUT010,165.91858165137606
NCS41,OUT035,3328.2073809523795
FDF41,OUT035,3719.0643283783766
FDU34,OUT046,1952.3712349514562
DRH11,OUT046,786.2280350877194
FDM03,OUT013,1461.8437959999999
FDS31,OUT017,3328.2073809523795
FDJ20,OUT017,2089.9710432835814
FDV44,OUT027,5329.3147244444435
FDG02,OUT049,2827.356688888888
FDA09,OUT013,2879.671553999999
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727272
FDE52,OUT045,1424.5946902777782
FDW12,OUT035,2490.526886705203
FDL51,OUT017,3692.819102439025
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1570.2005266666665
FDN40,OUT045,2490.526886705203
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2611.4595423423416
NCL06,OUT046,4034.3003068965513
FDI35,OUT013,3328.2073809523795
NCW42,OUT045,3969.499600000001
NCX06,OUT049,2879.671553999999
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524399999998
DRG49,OUT049,3719.0643283783766
NCG06,OUT045,4034.3003068965513
DRC36,OUT045,3177.037808
FDV21,OUT019,281.48208181818177
FDB53,OUT046,2987.0414550458727
DRP47,OUT019,584.7577647727272
FDA14,OUT013,2987.0414550458727
DRC24,OUT035,2680.036722513089
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1851.5061202185789
FDU58,OUT013,2911.4114396396403
FDY27,OUT017,2552.005235185186
FDV56,OUT035,1678.1489000000001
FDT59,OUT046,4350.177408
FDB23,OUT046,4350.177408
FDR49,OUT045,798.2176035398228
FDB03,OUT010,584.7577647727272
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.3147244444435
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.688490740741
NCT29,OUT013,2089.9710432835814
FDZ27,OUT046,798.2176035398228
FDN57,OUT017,2252.9139603174617
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3328.2073809523795
NCU05,OUT013,1243.0689297709926
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.8437959999999
FDZ25,OUT017,2987.0414550458727
FDG12,OUT046,2293.906512903225
DRB01,OUT019,482.6995426229507
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727272
FDM22,OUT049,932.443804371585
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.8972837209301
FDP27,OUT046,3480.072957352941
FDO38,OUT010,165.91858165137606
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1851.5061202185789
DRL23,OUT027,2517.882088484848
FDS28,OUT046,786.2280350877194
FDX24,OUT013,1481.8506141732285
FDZ02,OUT035,1851.5061202185789
FDL46,OUT045,1827.8328454545463
FDS60,OUT027,5329.3147244444435
NCO06,OUT017,583.8145788617887
FDO16,OUT035,1481.8506141732285
FDC60,OUT049,1259.549051315789
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.3147244444435
FDK27,OUT045,1827.8328454545463
FDW23,OUT018,507.04640366972484
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1649.6795480769226
FDW60,OUT018,2879.671553999999
FDE21,OUT013,1922.149381714284
NCM42,OUT035,1851.5061202185789
FDY59,OUT010,219.21852093023256
DRI49,OUT049,1259.549051315789
FDT28,OUT019,346.8972837209301
FDQ22,OUT018,507.04640366972484
FDR60,OUT049,1259.549051315789
FDC50,OUT019,219.21852093023256
FDV24,OUT013,2490.526886705203
DRF48,OUT010,482.6995426229507
FDQ47,OUT046,583.8145788617887
DRN36,OUT049,1570.2005266666665
NCY06,OUT035,1952.3712349514562
FDE52,OUT035,1424.5946902777782
NCB54,OUT045,1827.8328454545463
NCF31,OUT035,2490.526886705203
FDJ08,OUT027,5329.3147244444435
NCC07,OUT017,1678.1489000000001
NCD19,OUT027,1378.263185276074
FDL46,OUT049,2293.906512903225
FDM20,OUT045,3969.499600000001
NCI06,OUT010,425.93559145299145
DRM11,OUT035,4433.30403265306
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,1952.3712349514562
FDO49,OUT018,713.8586545454551
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1481.8506141732285
DRI39,OUT049,932.443804371585
FDV04,OUT017,2222.6712822580644
NCN14,OUT035,2919.0371914893603
FDH08,OUT013,3692.819102439025
FDS20,OUT046,3480.072957352941
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,281.48208181818177
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2552.005235185186
FDS48,OUT045,2680.036722513089
FDK26,OUT010,482.6995426229507
FDD23,OUT045,2911.4114396396403
NCH54,OUT017,2680.036722513089
NCP14,OUT010,219.21852093023256
FDM60,OUT010,92.67548155339804
FDV24,OUT017,2490.526886705203
FDH08,OUT018,3327.952582926828
FDS12,OUT027,3242.062071532848
FDR39,OUT027,5329.3147244444435
FDP12,OUT027,1378.263185276074
DRF60,OUT027,6280.890880000001
FDC09,OUT035,1678.1489000000001
FDF50,OUT018,3164.305884313725
FDG28,OUT035,3969.499600000001
NCE19,OUT017,786.2280350877194
NCM53,OUT010,281.48208181818177
NCN18,OUT049,1851.5061202185789
FDF32,OUT035,3164.305884313725
FDF11,OUT013,4350.177408
DRI59,OUT049,4350.177408
NCG54,OUT035,2987.0414550458727
FDM44,OUT046,1649.6795480769226
FDT57,OUT018,3327.952582926828
FDV24,OUT046,2490.526886705203
FDI50,OUT019,584.7577647727272
FDS09,OUT035,713.8586545454551
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,584.7577647727272
FDC22,OUT017,3164.305884313725
FDZ56,OUT046,2680.036722513089
FDZ40,OUT019,165.91858165137606
FDS46,OUT027,3242.062071532848
DRD24,OUT045,1827.8328454545463
FDV45,OUT017,2911.4114396396403
FDL26,OUT045,2987.0414550458727
FDA56,OUT018,1752.2524399999998
FDN27,OUT046,1922.149381714284
FDM20,OUT049,4350.177408
FDO16,OUT017,1481.8506141732285
FDL03,OUT035,2919.0371914893603
FDE58,OUT046,1922.149381714284
FDI02,OUT027,3242.062071532848
NCC55,OUT019,92.67548155339804
FDR03,OUT018,3327.952582926828
FDB14,OUT017,1424.5946902777782
FDR45,OUT013,4350.177408
NCN07,OUT017,1952.3712349514562
FDM51,OUT019,219.21852093023256
FDT52,OUT027,6280.890880000001
FDL26,OUT046,2987.0414550458727
NCZ42,OUT046,4350.177408
DRI47,OUT019,346.8972837209301
FDW40,OUT013,2252.9139603174617
FDN34,OUT046,2680.036722513089
FDS01,OUT035,2879.671553999999
NCG55,OUT045,1827.8328454545463
FDC11,OUT035,1424.5946902777782
FDX35,OUT018,3327.952582926828
NCB06,OUT046,2680.036722513089
FDR09,OUT019,584.7577647727272
FDC53,OUT017,1649.6795480769226
FDY45,OUT013,4433.30403265306
FDA22,OUT010,425.93559145299145
FDE02,OUT035,1570.2005266666665
FDW21,OUT045,1461.8437959999999
FDV34,OUT046,1103.1862133333332
FDS59,OUT049,1851.5061202185789
NCW17,OUT017,2293.906512903225
NCK54,OUT046,1922.149381714284
FDG17,OUT019,584.7577647727272
FDG35,OUT017,3177.037808
FDD08,OUT010,92.67548155339804
NCO07,OUT017,3692.819102439025
FDJ10,OUT010,281.48208181818177
FDW36,OUT017,1570.2005266666665
FDW21,OUT010,219.21852093023256
FDY19,OUT017,1922.149381714284
DRE03,OUT013,798.2176035398228
NCC55,OUT049,677.1027476190474
FDH52,OUT010,165.91858165137606
FDO09,OUT017,4034.3003068965513
FDU43,OUT045,3969.499600000001
FDX09,OUT010,425.93559145299145
FDH40,OUT019,219.21852093023256
FDW58,OUT017,1649.6795480769226
FDC47,OUT017,3719.0643283783766
NCR41,OUT035,1461.8437959999999
DRG49,OUT035,3719.0643283783766
FDC52,OUT027,4117.317712631579
FDY13,OUT046,1103.1862133333332
FDY35,OUT013,507.04640366972484
FDI35,OUT017,3328.2073809523795
NCU18,OUT049,2252.9139603174617
FDY33,OUT018,2232.8470218487396
FDC15,OUT027,4117.317712631579
FDU01,OUT049,2827.356688888888
NCU42,OUT046,2611.4595423423416
NCV29,OUT018,2879.671553999999
NCY30,OUT017,2919.0371914893603
FDQ46,OUT049,1570.2005266666665
FDG58,OUT027,4117.317712631579
FDK33,OUT017,3692.819102439025
NCD07,OUT045,1827.8328454545463
NCX29,OUT027,4117.317712631579
NCT42,OUT013,2490.526886705203
DRN59,OUT035,798.2176035398228
FDI44,OUT035,1243.0689297709926
FDA45,OUT049,2552.005235185186
FDP31,OUT045,1103.1862133333332
FDY01,OUT046,1922.149381714284
FDT09,OUT018,1752.2524399999998
DRH03,OUT027,2517.882088484848
FDA36,OUT018,2827.356688888888
NCF31,OUT017,2222.6712822580644
FDG14,OUT049,2490.526886705203
FDG28,OUT027,6280.890880000001
FDU14,OUT049,4433.30403265306
FDY47,OUT019,281.48208181818177
FDI56,OUT049,1259.549051315789
DRD01,OUT013,786.2280350877194
FDM22,OUT046,786.2280350877194
FDH33,OUT013,507.04640366972484
DRZ24,OUT013,1922.149381714284
NCQ38,OUT046,1678.1489000000001
FDO16,OUT027,2517.882088484848
FDU07,OUT027,4117.317712631579
NCB07,OUT013,2919.0371914893603
FDU48,OUT045,1827.8328454545463
NCM43,OUT045,2680.036722513089
FDR31,OUT010,346.8972837209301
DRK49,OUT018,507.04640366972484
NCI30,OUT010,584.7577647727272
DRD60,OUT017,3328.2073809523795
NCG19,OUT046,3719.0643283783766
FDH12,OUT035,1570.2005266666665
FDM32,OUT035,1424.5946902777782
FDM27,OUT035,2987.0414550458727
NCU53,OUT027,4117.317712631579
NCQ18,OUT046,1678.1489000000001
FDS10,OUT013,2552.005235185186
FDB33,OUT027,4117.317712631579
FDI12,OUT013,1424.5946902777782
NCW42,OUT013,4350.177408
NCC06,OUT018,1752.2524399999998
FDW02,OUT017,1952.3712349514562
NCD43,OUT017,1851.5061202185789
FDM57,OUT018,1259.549051315789
FDA58,OUT017,3719.0643283783766
FDK56,OUT046,3480.072957352941
FDP52,OUT045,3692.819102439025
FDW20,OUT018,1752.2524399999998
FDS52,OUT049,1649.6795480769226
NCT29,OUT018,1752.2524399999998
NCL54,OUT013,2552.005235185186
FDC05,OUT045,3164.305884313725
FDF34,OUT035,2827.356688888888
FDP03,OUT027,3242.062071532848
FDD32,OUT010,219.21852093023256
FDZ10,OUT045,1827.8328454545463
FDZ40,OUT035,786.2280350877194
FDD51,OUT018,507.04640366972484
NCY30,OUT019,425.93559145299145
FDP58,OUT017,3387.3895120689645
FDV49,OUT017,4433.30403265306
FDY24,OUT019,165.91858165137606
NCO55,OUT017,1851.5061202185789
FDR13,OUT017,1922.149381714284
FDS51,OUT017,932.443804371585
FDP26,OUT045,1461.8437959999999
NCB54,OUT027,3242.062071532848
FDF32,OUT017,3164.305884313725
FDN31,OUT018,3164.305884313725
DRM48,OUT017,583.8145788617887
FDN20,OUT049,2453.747700699301
DRL01,OUT046,3692.819102439025
FDV56,OUT049,1678.1489000000001
DRH13,OUT027,2517.882088484848
FDA03,OUT017,2453.747700699301
FDF47,OUT027,5329.3147244444435
FDX32,OUT046,2987.0414550458727
FDX57,OUT049,1678.1489000000001
NCA30,OUT045,2919.0371914893603
FDO49,OUT013,713.8586545454551
FDL04,OUT019,219.21852093023256
DRM48,OUT035,583.8145788617887
FDR16,OUT013,3387.3895120689645
NCC19,OUT018,3164.305884313725
NCE42,OUT045,3969.499600000001
FDY24,OUT017,932.443804371585
FDH19,OUT049,2879.671553999999
FDJ46,OUT013,2552.005235185186
FDN45,OUT010,584.7577647727272
FDY08,OUT035,2252.9139603174617
