Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1668.303836001945
FDW14,OUT017,1353.3272185413855
NCN55,OUT010,628.3276623076223
FDQ58,OUT017,2468.4564507690197
FDY38,OUT027,5994.736156503533
FDH56,OUT046,1885.8840781405822
FDL48,OUT018,605.541411898234
FDC48,OUT027,2149.6039847408915
FDN33,OUT045,1512.6613280926215
FDA36,OUT017,3180.5484927852717
FDT44,OUT017,1919.7912445581899
FDQ56,OUT045,1344.699253508366
NCC54,OUT019,614.6794542093407
FDU11,OUT049,2073.0914145503875
DRL59,OUT013,805.2200474687852
FDM24,OUT049,2475.703439309393
FDI57,OUT045,3063.7554346612346
DRC12,OUT018,2861.710805007935
NCM42,OUT027,2755.5435848025563
FDA46,OUT010,532.6155334385398
FDA31,OUT013,2851.722323715688
NCJ31,OUT035,3810.221267071509
FDG52,OUT046,797.2226246315198
NCL19,OUT019,380.9778243677161
FDS10,OUT035,3003.1829498507745
FDX22,OUT010,656.0119146457567
NCF19,OUT035,841.1701932712231
NCE06,OUT046,2618.7958594250713
DRC27,OUT046,3868.3977690399247
FDE21,OUT035,1981.6503662329676
NCR42,OUT019,60.93091409765357
FDX51,OUT018,2828.698535271335
NCR06,OUT018,499.5246026602957
FDU31,OUT027,5486.422436449516
FDU59,OUT017,2642.1431234363345
FDR03,OUT027,5189.9547085558515
FDS49,OUT027,2210.842610038662
FDD48,OUT010,333.6958080092269
NCF18,OUT017,3150.949719459326
NCD43,OUT027,2659.0148808645918
NCD54,OUT018,1725.071064446387
FDY19,OUT010,323.2066123578494
NCY54,OUT017,2876.2369119540217
NCL19,OUT018,2206.955785435377
FDP23,OUT010,592.2121551266063
FDC26,OUT013,1814.4475667844802
FDR14,OUT010,105.00515922517786
NCS41,OUT035,3222.122047105708
FDF41,OUT035,3705.802730314885
FDU34,OUT046,2043.7421106638124
DRH11,OUT046,938.5315038114641
FDM03,OUT013,1638.2076356551531
FDS31,OUT017,2964.969353955542
FDJ20,OUT017,2030.805183484701
FDV44,OUT027,5270.411859673127
FDG02,OUT049,3029.603508056883
FDA09,OUT013,2965.875708608403
FDT04,OUT013,677.4491731679406
FDL58,OUT019,756.4811165418265
FDE52,OUT045,1366.280270810507
FDW12,OUT035,2518.2664197515455
FDL51,OUT017,3542.267560766621
NCY42,OUT027,3181.8385351464112
